Transaction Date,Post Date,Description,Category,Type,Amount,Memo
03/12/2026,03/13/2026,SSP Iceland ehf.,Food & Drink,Sale,-2.95,
03/11/2026,03/12/2026,SumUp  *SHAJGOJ LIMITE,Groceries,Sale,-10.79,
03/10/2026,03/11/2026,COUNTER SOLUTIONS HOLDING,Groceries,Sale,-1.14,
03/08/2026,03/09/2026,TOWN BARBERSHOP,Personal,Sale,-26.00,
03/06/2026,03/08/2026,FAIRLAKES EXXON,Automotive,Sale,-20.00,
03/06/2026,03/08/2026,EXXON FAIRLAKES EXXON ,Gas,Sale,-5.38,
03/06/2026,03/08/2026,SQ *PADEL UP,Food & Drink,Sale,-9.00,
03/06/2026,03/08/2026,EXXON FAIRLAKES EXXON ,Gas,Sale,-17.74,
03/05/2026,03/06/2026,SAINSBURYS S/MKTS,Groceries,Sale,-16.97,
03/03/2026,03/05/2026,UBER   *EATS,Food & Drink,Sale,-23.32,
03/04/2026,03/05/2026,VCN*VIRGINIASCC,Bills & Utilities,Sale,-100.00,
03/03/2026,03/04/2026,LYFT   *1 RIDE 03-02,Travel,Sale,-7.97,
03/01/2026,03/03/2026,7-ELEVEN 10653,Gas,Sale,-24.80,
03/01/2026,03/02/2026,ELN Wardour,Food & Drink,Sale,-21.39,
03/01/2026,03/02/2026,TST* SUPREME THAI BISTRO,Food & Drink,Sale,-48.69,
02/27/2026,03/01/2026,THE UPS STORE 4304,Personal,Sale,-20.75,
02/27/2026,03/01/2026,FAIR PRICE GROCERY AND H,Groceries,Sale,-43.75,
02/27/2026,03/01/2026,NAIFCENTER DONATION,Gifts & Donations,Sale,-15.00,
02/21/2026,02/23/2026,7-ELEVEN 10653,Gas,Sale,-30.10,
02/22/2026,02/23/2026,JOHN LEWIS STORES,Shopping,Sale,-34.13,
02/22/2026,02/22/2026,Payment Thank You-Mobile,,Payment,1812.13,
02/21/2026,02/22/2026,SQ *BUNS FROM HOME - SLOA,Groceries,Sale,-7.37,
02/19/2026,02/20/2026,TST-Dirty Bones - Soho,Food & Drink,Sale,-26.75,
02/15/2026,02/17/2026,SHELL OIL 57526140801,Gas,Sale,-26.61,
02/15/2026,02/17/2026,SEMOS RESTAURANT,Food & Drink,Sale,-17.51,
02/14/2026,02/17/2026,SHOYU RESTAURANT AND BAR,Food & Drink,Sale,-30.33,
02/14/2026,02/16/2026,TST*NINAS WAFFLES - DOY,Food & Drink,Sale,-4.88,
02/14/2026,02/16/2026,TST*86 WEST - DOYLESTOWN,Food & Drink,Sale,-58.73,
02/15/2026,02/16/2026,SAINSBURYS S/MKTS,Groceries,Sale,-45.04,
02/14/2026,02/16/2026,CHESAPEAKE  PEETS COFF,Food & Drink,Sale,-7.58,
02/15/2026,02/16/2026,AMAZON* IH3GI77A5,Shopping,Sale,-40.96,
02/14/2026,02/15/2026,VANILLA CAFE AND BAKERY,Food & Drink,Sale,-18.92,
02/13/2026,02/15/2026,COUNTER SOLUTIONS HOLDING,Groceries,Sale,-1.23,
02/14/2026,02/15/2026,THE GOOD GYRO,Food & Drink,Sale,-21.99,
02/10/2026,02/11/2026,COUNTER SOLUTIONS HOLDING,Groceries,Sale,-1.23,
02/10/2026,02/11/2026,PYD*Yellowladdercoffee,Food & Drink,Sale,-7.39,
02/10/2026,02/11/2026,COUNTER SOLUTIONS HOLDING,Groceries,Sale,-1.23,
02/08/2026,02/10/2026,BAKERY MUSEUM &amp; CO,Food & Drink,Sale,-16.88,
02/09/2026,02/10/2026,COUNTER SOLUTIONS HOLDING,Groceries,Sale,-1.91,
02/08/2026,02/10/2026,UNITED      0162372706800,Travel,Sale,-284.07,
02/07/2026,02/08/2026,MORRISONS DAILY,Groceries,Sale,-3.87,
02/06/2026,02/08/2026,UBER   *ONE MEMBERSHIP,Travel,Sale,-6.82,
02/07/2026,02/08/2026,AIRBNB * HMBDFZAFNN,Travel,Sale,-138.56,
02/07/2026,02/08/2026,COUNTER SOLUTIONS HOLDING,Groceries,Sale,-1.16,
02/04/2026,02/05/2026,COUNTER SOLUTIONS HOLDING,Groceries,Sale,-1.17,
02/02/2026,02/02/2026,CORPORATE FILINGS LLC,Personal,Sale,-163.00,
02/01/2026,02/02/2026,CORPORATE FILINGS LLC,Personal,Sale,-25.00,
02/01/2026,02/02/2026,SPO*LONEOAKFARMBREWINGCOM,Food & Drink,Sale,-10.60,
02/01/2026,02/02/2026,CORPORATE FILINGS LLC,Personal,Sale,-49.00,
02/01/2026,02/02/2026,BOOTS 2012,Health & Wellness,Sale,-21.97,
01/31/2026,02/02/2026,PAMA THAI,Food & Drink,Sale,-51.00,
02/01/2026,02/01/2026,AUTOMATIC PAYMENT - THANK,,Payment,898.53,
01/31/2026,02/01/2026,Vue Entertainment Ltd,Entertainment,Sale,-12.42,
01/27/2026,01/29/2026,TILLY KITCHEN,Food & Drink,Sale,-36.19,
01/26/2026,01/27/2026,SAINSBURYS S/MKTS,Groceries,Sale,-27.36,
01/24/2026,01/26/2026,7-ELEVEN 10653,Gas,Sale,-30.80,
01/25/2026,01/26/2026,JOHN LEWIS STORES,Shopping,Sale,-1.57,
01/20/2026,01/21/2026,SAINSBURYS S/MKTS,Groceries,Sale,-12.77,
01/18/2026,01/20/2026,UNITED      0162365776751,Travel,Sale,-385.50,
01/18/2026,01/19/2026,TACO ZOCALO RESTON,Food & Drink,Sale,-29.00,
01/18/2026,01/19/2026,JWD Lamian Noodle Bar,Food & Drink,Sale,-20.53,
01/18/2026,01/19/2026,SAINSBURYS S/MKTS,Groceries,Sale,-4.83,
01/16/2026,01/18/2026,HARRIS TEETER #0085,Groceries,Sale,-7.35,
01/15/2026,01/18/2026,MELBREW,Food & Drink,Sale,-5.41,
01/14/2026,01/15/2026,COUNTER SOLUTIONS HOLDING,Groceries,Sale,-1.15,
01/13/2026,01/15/2026,YOFROYO,Food & Drink,Sale,-4.48,
01/09/2026,01/14/2026,HM Hennes  Mauritz UK L,Shopping,Sale,-39.05,
01/13/2026,01/14/2026,FACEBK *NKKYE95S52,Professional Services,Sale,-2.75,
01/12/2026,01/13/2026,THE NOOD,Food & Drink,Sale,-22.07,
01/09/2026,01/11/2026,THE CROISSANT GUY,Food & Drink,Sale,-2.32,
12/26/2025,01/11/2026,HM Hennes  Mauritz UK L,Shopping,Return,28.45,
01/09/2026,01/11/2026,COUNTER SOLUTIONS HOLDING,Groceries,Sale,-1.14,
01/09/2026,01/11/2026,SENZO LONDON,Food & Drink,Sale,-18.86,
01/05/2026,01/07/2026,UBER   *TRIP,Travel,Sale,-16.08,
01/05/2026,01/06/2026,UBER* TRIP,Travel,Sale,-13.37,
01/05/2026,01/06/2026,CAFFE NERO 171 EXMOUTH MA,Food & Drink,Sale,-5.47,
01/03/2026,01/05/2026,BURNING BROWNIE,Food & Drink,Sale,-2.18,
01/04/2026,01/05/2026,UBER* EATS,Personal,Sale,-24.09,
01/01/2026,01/01/2026,AUTOMATIC PAYMENT - THANK,,Payment,1285.77,
12/30/2025,12/31/2025,SAINSBURYS S/MKTS,Groceries,Sale,-34.26,
12/26/2025,12/31/2025,HM Hennes  Mauritz UK L,Shopping,Sale,-51.78,
12/30/2025,12/31/2025,FACEBK *693WB9HR52,Professional Services,Sale,-10.00,
12/29/2025,12/29/2025,Payment Thank You-Mobile,,Payment,2000.00,
12/27/2025,12/28/2025,HOMEGOODS #0636,Shopping,Sale,-31.79,
12/26/2025,12/28/2025,SQ *MUSAFIR LLC,Food & Drink,Sale,-36.67,
12/26/2025,12/28/2025,HALAL ADDYS LLC,Groceries,Sale,-32.83,
12/27/2025,12/28/2025,FACEBK *EVLT59HR52,Professional Services,Sale,-9.00,
12/25/2025,12/26/2025,DESI BREAKFAST CLUB,Food & Drink,Sale,-29.34,
12/24/2025,12/25/2025,FACEBK *LWSYY75S52,Professional Services,Sale,-8.00,
12/24/2025,12/25/2025,TST*HARAZ COFFEE - FAIRF,Food & Drink,Sale,-15.02,
12/24/2025,12/25/2025,TST-Bun and Sum Restau,Food & Drink,Sale,-11.84,
12/22/2025,12/23/2025,COUNTER SOLUTIONS HOLDING,Groceries,Sale,-2.25,
12/22/2025,12/23/2025,FACEBK *BG67P79R52,Professional Services,Sale,-7.00,
12/22/2025,12/22/2025,LYFT   *1 RIDE 12-20,Travel,Sale,-8.97,
12/21/2025,12/22/2025,7-ELEVEN 10653,Gas,Sale,-27.66,
12/21/2025,12/22/2025,WHITECHAPEL FRIED CHICKEN,Food & Drink,Sale,-9.37,
12/21/2025,12/22/2025,JOHN LEWIS,Shopping,Sale,-0.80,
12/19/2025,12/21/2025,JOHN LEWIS,Shopping,Sale,-2.15,
12/20/2025,12/21/2025,FACEBK *8VK8M8HR52,Professional Services,Sale,-6.00,
12/19/2025,12/21/2025,HARRIS TEETER #0085,Groceries,Sale,-3.02,
12/19/2025,12/21/2025,JOHN LEWIS,Shopping,Return,0.93,
12/19/2025,12/21/2025,NAIF,Gifts & Donations,Sale,-10.00,
12/18/2025,12/19/2025,FACEBK *5QFJ38RR52,Professional Services,Sale,-5.00,
12/16/2025,12/17/2025,FACEBK *92PBR8VR52,Professional Services,Sale,-4.00,
12/15/2025,12/16/2025,FACEBK *3D72679R52,Professional Services,Sale,-3.00,
12/14/2025,12/15/2025,SAINSBURYS S/MKTS,Groceries,Sale,-40.46,
12/14/2025,12/15/2025,FACEBK *DSSYV8ZR52,Professional Services,Sale,-2.00,
12/12/2025,12/14/2025,DD *DOORDASH RESTAURAN,Food & Drink,Return,13.48,
12/12/2025,12/14/2025,DD *DOORDASH RESTAURAN,Food & Drink,Sale,-13.48,
12/12/2025,12/14/2025,BROWNES CHEMIST,Health & Wellness,Sale,-13.31,
12/13/2025,12/14/2025,HOMEGOODS #0636,Shopping,Sale,-107.02,
12/09/2025,12/10/2025,Fly Jinnah - Czmo,Travel,Sale,-112.28,
12/09/2025,12/10/2025,Fly Jinnah - Czmo,Travel,Sale,-133.14,
12/07/2025,12/08/2025,DESI BREAKFAST CLUB,Food & Drink,Sale,-40.65,
12/07/2025,12/08/2025,FAIR PRICE GROCERY AND H,Groceries,Sale,-10.09,
12/07/2025,12/08/2025,SQ *BUNS FROM HOME - SLOA,Groceries,Sale,-7.28,
12/07/2025,12/08/2025,FAIR PRICE GROCERY AND H,Groceries,Sale,-29.25,
12/07/2025,12/08/2025,JOHN LEWIS,Shopping,Sale,-0.80,
12/06/2025,12/07/2025,TST*KANOON,Food & Drink,Sale,-49.44,
12/05/2025,12/07/2025,SAINSBURYS S/MKTS,Groceries,Sale,-8.03,
12/01/2025,12/01/2025,AUTOMATIC PAYMENT - THANK,,Payment,2495.58,
11/30/2025,12/01/2025,GAIL'S LIVERPOOL STREE,Food & Drink,Sale,-4.24,
11/29/2025,11/30/2025,SAINSBURYS S/MKTS,Groceries,Sale,-4.57,
11/28/2025,11/30/2025,WM SUPERCENTER #2647,Groceries,Sale,-8.32,
11/28/2025,11/30/2025,WM SUPERCENTER #2647,Groceries,Sale,-24.97,
11/29/2025,11/30/2025,EXXON HANDY MART #16,Gas,Sale,-25.75,
11/26/2025,11/27/2025,COUNTER SOLUTIONS HOLDING,Groceries,Sale,-1.19,
11/26/2025,11/27/2025,COUNTER SOLUTIONS HOLDING,Groceries,Sale,-2.11,
11/24/2025,11/25/2025,SAINSBURYS S/MKTS,Groceries,Sale,-33.31,
11/22/2025,11/25/2025,CIET CANADA,Professional Services,Sale,-2269.34,
11/23/2025,11/25/2025,7-ELEVEN 10653,Gas,Sale,-34.69,
11/24/2025,11/25/2025,BALLSTON CAFE INC,Groceries,Sale,-11.09,
11/24/2025,11/24/2025,TST* PARIS BAGUETTE - 401,Food & Drink,Sale,-21.38,
11/23/2025,11/24/2025,PRET A MANGER,Food & Drink,Sale,-6.54,
11/23/2025,11/24/2025,TST*BURGER BHAI DMV,Food & Drink,Sale,-4.42,
11/23/2025,11/24/2025,FAIR PRICE GROCERY AND H,Groceries,Sale,-25.10,
11/23/2025,11/24/2025,TOWN BARBERSHOP,Personal,Sale,-27.00,
11/23/2025,11/24/2025,TST*BURGER BHAI DMV,Food & Drink,Sale,-27.45,
11/22/2025,11/23/2025,PRET A MANGER,Food & Drink,Sale,-7.85,
11/20/2025,11/21/2025,SAINSBURYS S/MKTS,Groceries,Sale,-4.28,
11/19/2025,11/20/2025,LYFT   *1 RIDE 11-18,Travel,Sale,-14.70,
11/17/2025,11/19/2025,BEACH CAFE &amp; PIZZA,Food & Drink,Sale,-20.97,
11/17/2025,11/19/2025,RIVERSIDE HOTEL RESTAURAN,Food & Drink,Sale,-43.56,
11/18/2025,11/19/2025,LYFT   *1 RIDE 11-17,Travel,Sale,-11.93,
11/18/2025,11/19/2025,OFFERDAHL CAFE T1 FLL,Food & Drink,Sale,-3.52,
11/17/2025,11/18/2025,TST* NANOU FRENCH BAKERY,Food & Drink,Sale,-31.65,
11/16/2025,11/18/2025,TST*COCONUTS - FTL NEW,Food & Drink,Sale,-179.76,
11/16/2025,11/18/2025,THE SHOP AT LAS OLAS,Shopping,Sale,-16.69,
11/16/2025,11/18/2025,THE SHOP AT LAS OLAS,Shopping,Sale,-7.78,
11/17/2025,11/18/2025,SAINSBURYS S/MKTS,Groceries,Sale,-15.88,
11/17/2025,11/18/2025,TST* THE HOLLYWOOD DONUT,Food & Drink,Sale,-9.00,
11/15/2025,11/17/2025,YOGURT UR WAY,Food & Drink,Sale,-4.10,
11/17/2025,11/17/2025,LYFT   *3 RIDES 11-15,Travel,Sale,-44.31,
11/15/2025,11/17/2025,TST*TACO VIBEZ,Food & Drink,Sale,-31.91,
11/16/2025,11/17/2025,TST*COCONUTS - FTL NEW,Food & Drink,Sale,-31.89,
11/15/2025,11/16/2025,SQ *BUNS FROM HOME - SLOA,Groceries,Sale,-7.20,
11/14/2025,11/16/2025,DD *DOORDASH ASIANFUSI,Food & Drink,Sale,-21.72,
11/13/2025,11/14/2025,SAINSBURYS S/MKTS,Groceries,Sale,-5.87,
11/10/2025,11/11/2025,SAINSBURYS S/MKTS,Groceries,Sale,-29.98,
11/09/2025,11/10/2025,KHAN K BBQ,Food & Drink,Sale,-143.02,
11/09/2025,11/10/2025,FNLTFN,Food & Drink,Sale,-39.22,
11/08/2025,11/09/2025,Honest Burger,Food & Drink,Sale,-26.61,
11/05/2025,11/06/2025,SAINSBURYS S/MKTS,Groceries,Sale,-15.31,
11/02/2025,11/04/2025,WING STOP,Food & Drink,Sale,-12.11,
11/02/2025,11/03/2025,HELLO 2 INDIA,Groceries,Sale,-13.76,
11/01/2025,11/02/2025,CTLP*CSC SERVICEWORKS,Automotive,Sale,-3.00,
10/29/2025,10/29/2025,Payment Thank You-Mobile,,Payment,1684.06,
10/27/2025,10/28/2025,SAINSBURYS S/MKTS,Groceries,Sale,-12.09,
10/19/2025,10/27/2025,SQ *MG FOODS,Food & Drink,Sale,-21.42,
10/23/2025,10/27/2025,SQ *MG FOODS,Food & Drink,Sale,-16.93,
10/26/2025,10/27/2025,SQ *GODFREY'S,Food & Drink,Sale,-22.00,
10/26/2025,10/27/2025,LUL TICKET MACHINE,Travel,Sale,-13.37,
10/26/2025,10/27/2025,PEETS # 26506,Food & Drink,Sale,-18.48,
10/25/2025,10/27/2025,SHELL OIL 57543987200,Gas,Sale,-30.56,
10/25/2025,10/27/2025,UBER   *TRIP,Travel,Sale,-23.05,
10/22/2025,10/23/2025,SAINSBURYS S/MKTS,Groceries,Sale,-10.16,
10/21/2025,10/22/2025,WHITECHAPEL FRIED CHICKEN,Food & Drink,Sale,-9.40,
10/19/2025,10/21/2025,TRADER JOE S #646,Groceries,Sale,-13.11,
10/19/2025,10/20/2025,TST* BB.Q CHICKEN USA - T,Food & Drink,Sale,-18.66,
10/17/2025,10/19/2025,SAINSBURYS S/MKTS,Groceries,Sale,-9.18,
10/18/2025,10/19/2025,TESCO STORES 6601,Groceries,Sale,-6.67,
10/14/2025,10/15/2025,SAINSBURYS S/MKTS,Groceries,Sale,-7.07,
10/14/2025,10/15/2025,43051140 COSTA COFFEE,Food & Drink,Sale,-4.95,
10/12/2025,10/13/2025,SAINSBURYS S/MKTS,Groceries,Sale,-13.47,
10/10/2025,10/12/2025,VA DMV STERLING CSC,Bills & Utilities,Sale,-32.00,
10/11/2025,10/12/2025,SQ *BUNS FROM HOME - COVE,Groceries,Sale,-7.29,
10/11/2025,10/12/2025,GBK T/A SLIM CHICKENS LIV,Food & Drink,Sale,-9.30,
10/09/2025,10/10/2025,OLIVE EXPRESS MEDITERRAN,Food & Drink,Sale,-18.33,
10/09/2025,10/09/2025,APPLE.COM/US,Shopping,Sale,-1980.08,
10/08/2025,10/09/2025,SAINSBURYS S/MKTS,Groceries,Sale,-12.25,
10/08/2025,10/09/2025,MARSTON EVENTS,Shopping,Sale,-40.48,
10/05/2025,10/07/2025,7-ELEVEN 10653,Gas,Sale,-27.68,
10/05/2025,10/06/2025,HALAL ADDYS LLC,Groceries,Sale,-10.59,
10/05/2025,10/06/2025,HALAL ADDYS LLC,Groceries,Sale,-29.65,
10/03/2025,10/05/2025,Upside on Moore,Food & Drink,Sale,-9.46,
10/04/2025,10/05/2025,HARRIS TEETER #0085,Groceries,Sale,-3.93,
10/04/2025,10/05/2025,SAINSBURYS S/MKTS,Groceries,Sale,-7.00,
10/02/2025,10/05/2025,Stellina Pizzeria,Food & Drink,Sale,-11.10,
10/02/2025,10/05/2025,CHICK-FIL-A #01045,Food & Drink,Sale,-17.00,
10/01/2025,10/02/2025,SQ *BLANK STREET UK LIMIT,Food & Drink,Sale,-5.28,
10/01/2025,10/02/2025,JWD Lamian Noodle Bar,Food & Drink,Sale,-18.59,
09/30/2025,10/02/2025,IAD DULLES HOURLY 54,Travel,Sale,-7.00,
09/29/2025,10/01/2025,TOBACCO MAX &amp; VAPE,Shopping,Sale,-38.00,
09/29/2025,10/01/2025,TST*KANOON,Food & Drink,Sale,-74.49,
09/29/2025,10/01/2025,TRADER JOE S #646,Groceries,Sale,-13.00,
09/30/2025,10/01/2025,HARRIS TEETER #0085,Groceries,Sale,-12.80,
09/29/2025,09/30/2025,SAINSBURYS S/MKTS,Groceries,Sale,-18.22,
09/29/2025,09/30/2025,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-22.26,
09/28/2025,09/29/2025,WALGREENS #10165,Health & Wellness,Sale,-7.20,
09/26/2025,09/29/2025,SIAM HOUSE,Food & Drink,Sale,-68.90,
09/28/2025,09/29/2025,AHZ OF CHANTILLY INC.,Gas,Sale,-36.46,
09/25/2025,09/26/2025,SQ *MG FOODS,Food & Drink,Sale,-61.59,
09/25/2025,09/26/2025,COSTCO WHSE #0334,Shopping,Sale,-157.90,
09/24/2025,09/25/2025,Yole Canary Wharf,Food & Drink,Sale,-9.41,
09/24/2025,09/25/2025,SQ *BLANK STREET UK LIMIT,Food & Drink,Sale,-5.28,
09/23/2025,09/24/2025,SAINSBURYS S/MKTS,Groceries,Sale,-9.12,
09/23/2025,09/24/2025,SUBWAY 47634,Food & Drink,Sale,-9.10,
09/22/2025,09/24/2025,TST*HARAZ COFFEE - FAIRF,Food & Drink,Sale,-22.33,
09/21/2025,09/23/2025,TST*SOFTSPOT,Food & Drink,Sale,-11.86,
09/22/2025,09/22/2025,Payment Thank You-Mobile,,Payment,3539.07,
09/20/2025,09/22/2025,UNITED      0162333593636,Travel,Sale,-348.49,
09/21/2025,09/22/2025,7-ELEVEN 10653,Gas,Sale,-37.33,
09/20/2025,09/21/2025,SAINSBURYS S/MKTS,Groceries,Sale,-14.97,
09/19/2025,09/21/2025,OLD NAVY US 6622,Shopping,Return,47.69,
09/18/2025,09/21/2025,METRO,Travel,Sale,-2.25,
09/18/2025,09/21/2025,METRO,Travel,Sale,-2.25,
09/19/2025,09/21/2025,WS OUTLET 0468,Home,Sale,-21.18,
09/20/2025,09/21/2025,TST* SILVER DINER - RESTO,Food & Drink,Sale,-136.76,
09/18/2025,09/19/2025,FAIR PRICE GROCERY AND H,Groceries,Sale,-3.02,
09/16/2025,09/17/2025,MORRISONS DAILY,Groceries,Sale,-3.61,
09/14/2025,09/16/2025,WENDYS 876,Food & Drink,Sale,-3.27,
09/13/2025,09/15/2025,DUKE PERK,Food & Drink,Sale,-5.26,
09/13/2025,09/15/2025,DUKE PERK,Food & Drink,Sale,-5.47,
09/14/2025,09/15/2025,JENKINS MINI-MART 2,Gas,Sale,-5.43,
09/13/2025,09/15/2025,IL FORNO,Food & Drink,Sale,-5.38,
09/14/2025,09/14/2025,WHITE SAUCE GRILL &amp; BAR,Food & Drink,Sale,-29.03,
09/13/2025,09/14/2025,SAINSBURYS S/MKTS,Groceries,Sale,-9.40,
09/10/2025,09/11/2025,COSTCO WHSE #0204,Shopping,Sale,-2.11,
09/10/2025,09/11/2025,COSTCO WHSE #0204,Shopping,Sale,-2.11,
09/09/2025,09/10/2025,SAINSBURYS S/MKTS,Groceries,Sale,-17.38,
09/08/2025,09/09/2025,DOLLAR GENERAL #6950,Shopping,Sale,-12.14,
09/08/2025,09/09/2025,CAFFE DOPPIO,Food & Drink,Sale,-12.26,
09/08/2025,09/09/2025,FINE PETRO,Gas,Sale,-37.00,
09/08/2025,09/09/2025,WAL-MART #3520,Groceries,Sale,-48.80,
09/08/2025,09/08/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
09/06/2025,09/08/2025,DARNA RESTAURANT LLC,Food & Drink,Sale,-75.83,
09/06/2025,09/08/2025,QAHWAH HOUSE,Food & Drink,Sale,-27.72,
09/05/2025,09/08/2025,FOOD STREET,Food & Drink,Sale,-50.08,
09/06/2025,09/08/2025,ANTEPLI BAKLAVA 2,Food & Drink,Sale,-12.80,
09/05/2025,09/07/2025,IKEA LTD 567 GREENWICH EX,Home,Sale,-40.05,
09/05/2025,09/07/2025,USPS KIOSK 5142129552,Shopping,Sale,-18.35,
09/05/2025,09/07/2025,SHELL OIL 57544581002,Gas,Sale,-32.25,
09/04/2025,09/05/2025,SAINSBURYS S/MKTS,Groceries,Sale,-12.96,
09/03/2025,09/05/2025,METRO,Travel,Sale,-5.15,
09/04/2025,09/05/2025,SHEIN.COM,Shopping,Sale,-32.28,
09/03/2025,09/04/2025,CHAATWALA,Food & Drink,Sale,-10.50,
09/03/2025,09/04/2025,SAINSBURYS S/MKTS,Groceries,Sale,-20.20,
09/03/2025,09/04/2025,OLD NAVY US 3375,Shopping,Sale,-47.69,
09/01/2025,09/02/2025,JWD Lamian Noodle Bar,Food & Drink,Sale,-18.66,
09/01/2025,09/02/2025,TRI-STATE,Gas,Sale,-25.10,
09/01/2025,09/02/2025,Tommy Hilfiger,Shopping,Sale,-40.32,
09/01/2025,09/02/2025,Columbia 438,Shopping,Sale,-31.79,
08/31/2025,09/02/2025,SAFEWAY 1298,Groceries,Sale,-8.44,
09/01/2025,09/02/2025,NAUTICA 2276,Shopping,Sale,-41.95,
09/01/2025,09/02/2025,JWD Lamian Noodle Bar,Food & Drink,Sale,-19.34,
08/31/2025,09/01/2025,KHAN K - BBQ,Food & Drink,Sale,-246.44,
08/31/2025,09/01/2025,IKEA WASHINGTON,Home,Sale,-397.96,
08/31/2025,09/01/2025,IKEA WASHINGTON REST,Food & Drink,Sale,-4.02,
08/29/2025,08/31/2025,FAIR PRICE GROCERY AND H,Groceries,Sale,-15.15,
08/29/2025,08/31/2025,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-22.24,
08/30/2025,08/31/2025,METRO BY T-MOBILE - 311,Shopping,Sale,-40.60,
08/30/2025,08/31/2025,CVS/PHARMACY #02006,Health & Wellness,Sale,-1.47,
08/30/2025,08/31/2025,T J MAXX #1351,Shopping,Sale,-3.49,
08/29/2025,08/31/2025,HARRIS TEETER #0085,Groceries,Sale,-10.28,
08/29/2025,08/31/2025,TESCO STORES 5599,Groceries,Sale,-10.29,
08/28/2025,08/29/2025,SQ *BLANK STREET UK LIMIT,Food & Drink,Sale,-5.28,
08/27/2025,08/29/2025,FLAGSHIP CAR WASH OF C,Automotive,Sale,-15.00,
08/27/2025,08/29/2025,DELAWARE NORTH WEMBLEY,Food & Drink,Sale,-16.74,
08/27/2025,08/28/2025,Budgens,Groceries,Sale,-6.65,
08/24/2025,08/25/2025,CHEESECAKE FAIRFAX,Food & Drink,Sale,-12.67,
08/22/2025,08/25/2025,RAILCARD.CO.UK,Travel,Sale,-47.20,
08/23/2025,08/25/2025,7-ELEVEN 10653,Gas,Sale,-31.20,
08/24/2025,08/25/2025,TJMAXX #0106,Shopping,Sale,-8.47,
08/24/2025,08/25/2025,FAIR PRICE GROCERY AND H,Groceries,Sale,-31.44,
08/23/2025,08/25/2025,CLARK BROTHERS,Shopping,Sale,-27.58,
08/23/2025,08/24/2025,TESCO STORES 6601,Groceries,Sale,-13.60,
08/23/2025,08/24/2025,SUSHI OHAYO,Food & Drink,Sale,-102.66,
08/21/2025,08/24/2025,TST*DOLCEZZA GELATO &amp; CO,Food & Drink,Sale,-17.28,
08/20/2025,08/22/2025,UBER   *EATS,Food & Drink,Sale,-21.90,
08/21/2025,08/22/2025,TESCO STORES 5599,Groceries,Sale,-7.91,
08/21/2025,08/22/2025,COSTCO WHSE #0334,Shopping,Sale,-46.69,
08/19/2025,08/21/2025,UNITED      0162324687499,Travel,Sale,-166.97,
08/19/2025,08/21/2025,THE UNITED INSURANCE C,Bills & Utilities,Sale,-37.55,
08/17/2025,08/19/2025,7-ELEVEN 10653,Gas,Sale,-17.77,
08/18/2025,08/19/2025,FAIR PRICE GROCERY AND H,Groceries,Sale,-39.23,
08/18/2025,08/19/2025,THE UNITED INSURANCE C,Bills & Utilities,Sale,-46.90,
08/17/2025,08/18/2025,TESCO STORES 5599,Groceries,Sale,-17.68,
08/15/2025,08/17/2025,SWEETFROG 35002,Food & Drink,Sale,-10.22,
08/15/2025,08/17/2025,DD *DOORDASH RESTAURAN,Food & Drink,Sale,-138.04,
08/12/2025,08/13/2025,WOK AND FIRE,Food & Drink,Sale,-11.12,
08/13/2025,08/13/2025,QATAR AIR   0002127885422,Travel,Sale,-1370.82,
08/12/2025,08/12/2025,Payment Thank You-Mobile,,Payment,2309.66,
08/11/2025,08/12/2025,WWW.AMAZON.* RF5HT52F4,Shopping,Sale,-15.14,
08/10/2025,08/12/2025,WWW.AMAZON.* RF9JE43I4,Shopping,Return,12.89,
08/11/2025,08/12/2025,TESCO STORES 5599,Groceries,Sale,-10.23,
08/10/2025,08/12/2025,IAD DULLES HOURLY 53,Travel,Sale,-7.00,
08/11/2025,08/11/2025,Amazon Prime*RF4AG62Z4,Bills & Utilities,Sale,-12.10,
08/09/2025,08/10/2025,TST-Bun and Sum Restau,Food & Drink,Sale,-12.45,
08/08/2025,08/10/2025,TST*GOGI YOGI,Food & Drink,Sale,-194.04,
08/09/2025,08/10/2025,The Blind Beggar,Food & Drink,Sale,-3.66,
08/08/2025,08/10/2025,SAINSBURYS S/MKTS,Groceries,Sale,-13.37,
08/07/2025,08/08/2025,WWW.AMAZON.* RF9JE43I4,Shopping,Sale,-33.92,
08/07/2025,08/08/2025,Kebab Point,Food & Drink,Sale,-13.24,
08/01/2025,08/03/2025,TST* BB.Q CHICKEN USA - A,Food & Drink,Sale,-58.25,
08/02/2025,08/03/2025,SQ *BLANK STREET UK LIMIT,Food & Drink,Sale,-5.19,
07/31/2025,08/03/2025,HUNAN VILLAGE,Food & Drink,Sale,-33.40,
08/01/2025,08/01/2025,AUTOMATIC PAYMENT - THANK,,Payment,669.80,
07/31/2025,08/01/2025,FLYWIRE*QUEEN MARY UNI,Education,Sale,-1395.00,
07/30/2025,07/31/2025,SAINSBURYS S/MKTS,Groceries,Sale,-6.54,
07/30/2025,07/31/2025,TESCO STORES 6601,Groceries,Sale,-10.52,
07/29/2025,07/30/2025,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-22.38,
